Kenteken,"Brandstof volgnummer","Brandstof omschrijving","Brandstofverbruik buiten de stad","Brandstofverbruik gecombineerd","Brandstofverbruik stad","CO2 uitstoot gecombineerd","CO2 uitstoot gewogen","Geluidsniveau rijdend","Geluidsniveau stationair",Emissieklasse,"Milieuklasse EG Goedkeuring (licht)","Milieuklasse EG Goedkeuring (zwaar)","Uitstoot deeltjes (licht)","Uitstoot deeltjes (zwaar)",Nettomaximumvermogen,"Nominaal continu maximumvermogen",Roetuitstoot,"Toerental geluidsniveau","Emissie deeltjes type1 wltp","Emissie co2 gecombineerd wltp","Emissie co2 gewogen gecombineerd wltp","Brandstof verbruik gecombineerd wltp","Brandstof verbruik gewogen gecombineerd wltp","Elektrisch verbruik enkel elektrisch wltp","Actie radius enkel elektrisch wltp","Actie radius enkel elektrisch stad wltp","Elektrisch verbruik extern opladen wltp","Actie radius extern opladen wltp","Actie radius extern opladen stad wltp","Max vermogen 15 minuten","Max vermogen 60 minuten","Netto max vermogen elektrisch","Klasse hybride elektrisch voertuig"
H580RV,1,Diesel,6.50,7.30,8.60,192,,74,84,5,715/2007*195/2013M,,0.00160,,96.00,,0.52,2700,,,,,,,,,,,,,,,
DXS55L,1,Benzine,,,,,,66,81,,134/2014*2018/295A1,,,,1.50,,,3125,,,,,,,,,,,,,,,
33BPG6,1,Diesel,,,,,,77,86,6,,595/2009*2018/932D,,,310.00,,,1200,,,,,,,,,,,,,,,
42MLSN,1,Elektriciteit,,,,,,,,,"EU No. 134/2014",,,,,40.00,,,,,,,,,,,,,,40.00,,,
H051SZ,1,Benzine,4.50,5.10,6.00,116,,68,73,6,715/2007*2018/1832DG,,,,74.00,,,3750,,135,,6.00,,,,,,,,,,,
H058SZ,1,Benzine,4.40,5.10,6.30,116,,67,74,6,715/2007*2018/1832DG,,,,74.00,,,3750,,136,,6.00,,,,,,,,,,,
VFR77L,2,LPG,,,,307,,74,86,6,715/2007*136/2014ZF,,,,295.00,,,3750,,,,,,,,,,,,,,,
H344TD,1,Benzine,5.20,5.60,6.50,129,,69,72,6,715/2007*2016/646W,,0.00185,,85.00,,,3750,,,,,,,,,,,,,,,
VFX35J,1,Diesel,7.20,7.40,7.70,194,,68,82,6,,595/2009*2018/932D,,,120.00,,,2850,,,,,,,,,,,,,,,
VFX15V,1,Diesel,5.10,5.70,6.70,149,,73,74,6,715/2007*136/2014W,,0.00073,,140.00,,0.50,3000,,,,,,,,,,,,,,,
GL552F,1,Benzine,3.60,4.10,5.00,95,,71,78,6,715/2007*136/2014W,,,,44.00,,,3750,,,,,,,,,,,,,,,
H197TG,1,Benzine,,,,159,,,,6,,,,,228.00,,,,,,,,,,,,,,,,,,
H553SZ,1,Diesel,,,,,,72,82,4,70/220*2003/76B,,0.05300,,88.00,,0.97,2700,,,,,,,,,,,,,,,
H811RF,1,Elektriciteit,,,,,,,,,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
29MLTF,1,Benzine,,,,,,72,86,,134/2014*134/2014,,,,52.00,,,4400,,,,,,,,,,,,,,,
H819LP,1,Benzine,5.50,6.10,7.40,140,,73,76,6,715/2007*2015/45W,,0.00016,,110.00,,,3750,,,,,,,,,,,,,,,
H847TB,1,Benzine,5.40,6.40,8.20,148,,74,78,6,715/2007*2015/45W,,0.00009,,169.00,,,3750,,,,,,,,,,,,,,,
H023SX,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
22MLTB,1,Benzine,,,,,,73,90,,"(EU) 134/2014*(EU) 2018/295",,,,35.00,,,3750,,,,,,,,,,,,,,,
DKP18H,1,Benzine,,,,,,65,76,,"97/24/EC 2009/108/EC Chap5 stage 2",,,,1.80,,,,,,,,,,,,,,,,,,
DZD39X,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.60,,,,,,,,,,,,,,,,,
DGH45S,1,Benzine,,,,,,65,75,,97/24/5/ECStage2-108/2009/EC,,,,1.62,,,2750,,,,,,,,,,,,,,,
DXR24D,1,Benzine,,,,,,71,79,,134/2014*2016/1824A1,,,,2.30,,,3625,,,,,,,,,,,,,,,
32MLTF,1,Benzine,,,,,,79,92,,134/2014/EU,,,,34.90,,,3625,,,,,,,,,,,,,,,
99MLST,1,Benzine,,,,,,73,96,,,,,,35.00,,,5250,,,,,,,,,,,,,,,
H554TF,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H884SR,1,Benzine,5.90,7.30,9.80,175,,70,85,4,70/220*2003/76B,,,,75.00,,,4200,,,,,,,,,,,,,,,
12VXK4,1,Diesel,,,,,,,,4,,,0.00200,,96.00,,,,,,,,,,,,,,,,,,
H987SZ,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
DZK63F,1,Benzine,,,,,,65,78,,97/24*2006/27/5,,,,1.12,,,2750,,,,,,,,,,,,,,,
H981SZ,1,Elektriciteit,,,,,,68,,Z,715/2007*630/2012ZX,,,,,60.00,,,,,,,,,,,,,,,,,
DXZ66S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
DZK44F,1,Benzine,,,,,,65,80,,"134/2014 including all amendments u",,,,1.60,,,2750,,,,,,,,,,,,,,,
H345PK,1,Benzine,4.10,4.80,6.10,110,,71,77,6,715/2007*136/2014W,,0.00019,,81.00,,,3750,,,,,,,,,,,,,,,
DZG06K,1,Elektriciteit,,,,,,,,,"EU No 134/2014 up to EU 2018/295",,,,,1.00,,,,,,,,,,,,,,,,,
H788SZ,1,Diesel,7.60,9.30,12.30,251,,73,76,3,70/220*2003/76A,,0.06400,,96.00,,0.80,2625,,,,,,,,,,,,,,,
H306SN,1,Diesel,4.30,4.80,5.70,127,,70,74,6,715/2007*2015/45W,,,,173.00,,0.51,3000,,,,,,,,,,,,,,,
H537SX,1,Benzine,4.30,4.90,5.90,113,,72,80,5,715/2007*630/2012J,,,,66.00,,,3750,,,,,,,,,,,,,,,
VDH64S,1,Diesel,6.80,7.50,8.60,195,,71,74,6,715/2007*2016/646Y,,0.00177,,130.00,,0.50,2375,,,,,,,,,,,,,,,
DZK72N,1,Benzine,,,,,,66,75,,134/2014*2016/1824A1,,,,1.50,,,3000,,,,,,,,,,,,,,,
VFJ22G,1,Diesel,4.30,4.80,5.50,124,,71,72,5,715/2007*195/2013L,,0.00045,,70.00,,0.50,2700,,,,,,,,,,,,,,,
H716TG,1,Diesel,6.60,6.90,7.60,182,,68,82,6,,595/2009*2018/932D,,,105.00,,,2850,,,,,,,,,,,,,,,
TX238R,1,Benzine,4.00,4.60,5.50,105,,70,78,5,715/2007*692/2008F,,,,50.00,,,3750,,,,,,,,,,,,,,,
77MLLZ,1,Benzine,,,,,,,92,,,,,,81.00,,,3875,,,,,,,,,,,,,,,
DZD06T,1,Elektriciteit,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,
20BPN1,1,Diesel,,,,,,77,87,6,,595/2009*2018/932D,,,115.00,,,1350,,,,,,,,,,,,,,,
DXZ70S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
H700TB,1,Benzine,3.80,4.40,5.50,101,,69,70,6,715/2007*2016/646W,,0.00019,,70.00,,,3750,,,,,,,,,,,,,,,
57JHX4,1,Benzine,,,,,,,,3,,,,,43.00,,,,,,,,,,,,,,,,,,
VFZ25L,1,Diesel,6.20,6.70,7.70,177,,71,77,6,715/2007*2015/45W,,0.00023,,140.00,,0.52,2850,,,,,,,,,,,,,,,
DZK65F,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2018/295",,,,1.70,,,3250,,,,,,,,,,,,,,,
DZK06K,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
H189KN,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,7.20,,,,,,,,,,,,,,,11.00,,NOVC-HEV
H838LR,1,Benzine,6.40,7.50,9.40,179,,72,83,4,70/220*2002/80B,,,,95.00,,,4500,,,,,,,,,,,,,,,
DZK88D,1,Benzine,,,,,,66,78,,"no 134/2014",,,,1.90,,,3250,,,,,,,,,,,,,,,
H922SZ,1,Benzine,4.20,4.90,5.90,113,,72,75,5,715/2007*459/2012J,,0.00021,,63.00,,,3750,,,,,,,,,,,,,,,
H909SZ,1,Benzine,4.30,5.20,6.70,120,,72,76,6,715/2007*2015/45W,,0.00030,,92.00,,,3750,,,,,,,,,,,,,,,
XZ028L,1,Benzine,4.30,5.50,7.50,128,,74,74,6,715/2007*459/2012W,,0.00011,,90.00,,,3750,,,,,,,,,,,,,,,
DZ9551,1,Benzine,,,,,,,,0,,,,,16.00,,,,,,,,,,,,,,,,,,
09MLTF,1,Benzine,,,,,,76,87,,134/2014*2018/295A1,,,,59.00,,,3875,,,,,,,,,,,,,,,
H008TB,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
DZJ73K,1,Benzine,,,,,,66,77,,97/24*2006/27/5,,,,2.00,,,3500,,,,,,,,,,,,,,,
H988SZ,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
H362TD,2,Elektriciteit,,,,,,,,6,715/2007*2016/646W,,,,,55.00,,,,,,,,,,,,,,,52.00,83.00,OVC-HEV
05MLLV,1,Benzine,,,,,,,92,,,,,,50.00,,,3750,,,,,,,,,,,,,,,
VDN70V,2,LPG,,,,,,,,5,,,,,272.00,,,,,,,,,,,,,,,,,,
DZK58Z,1,Benzine,,,,,,65,80,,"no 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
H625SP,1,Benzine,,,,,,76,84,0,,,,,60.00,,,,,,,,,,,,,,,,,,
H700SX,1,Benzine,,,,178,,73,83,3,,,,,80.00,,,4350,,,,,,,,,,,,,,,
DZK85T,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
H344PB,1,Benzine,4.30,5.00,6.20,116,,71,74,5,715/2007*630/2012J,,,,90.00,,,3750,,,,,,,,,,,,,,,
H014NP,1,Benzine,,,,125,,66,78,6,715/2007*2017/1347AG,,,,110.00,,,3750,,147,,,,,,,,,,,,,
H875SX,1,Elektriciteit,,,,,,68,,Z,715/2007*2017/1347AX,,,,,28.00,,,,,,,,154.00,449,619,,,,,,150.00,
DZF97H,1,Benzine,,,,,,71,81,,134/2014*2018/295A1,,,,2.40,,,3750,,,,,,,,,,,,,,,
H205TG,1,Diesel,4.50,5.60,7.70,150,,72,76,4,70/220*2002/80B,,0.02100,,90.00,,1.71,3000,,,,,,,,,,,,,,,
H186SX,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
H478SZ,1,Benzine,4.20,4.90,6.20,114,,72,79,5,715/2007*630/2012J,,,,66.00,,,3750,,,,,,,,,,,,,,,
H006NS,1,Benzine,6.00,7.20,9.30,165,,73,73,6,715/2007*136/2014W,,0.00198,,141.00,,,3750,,,,,,,,,,,,,,,
DZK35N,1,Benzine,,,,,,65,78,,97/24*2006/27/5,,,,1.30,,,2750,,,,,,,,,,,,,,,
DXT89P,1,Benzine,,2.60,,57,,66,76,,134/2014*2016/1824,,,,2.60,,,3250,,,,,,,,,,,,,,,
H264RG,1,Benzine,4.10,4.60,5.50,109,,70,83,4,70/220*2003/76B,,,,50.00,,,4500,,,,,,,,,,,,,,,
DZK47N,1,Benzine,,,,,,66,78,,"EU no 134/2014*2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
XV946T,1,Benzine,,,,,,,,,,,,,29.50,,,,,,,,,,,,,,,,,,
H028SX,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
DXF48B,1,Elektriciteit,,,,,,,,,,,,,,1.80,,,,,,,,,,,,,,,,,
DZK47K,1,Benzine,,,,,,66,77,,"EU no 134/2014 as amended 2018/295",,,,1.70,,,3250,,,,,,,,,,,,,,,
DZG96N,1,Elektriciteit,,,,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,
73KPH4,1,Benzine,4.90,5.90,7.50,138,,,73,5,715/2007*692/2008A,,0.00126,,90.00,,,3750,,,,,,,,,,,,,,,
41BPN1,1,Diesel,,,,,,75,83,6,,595/2009*2018/932D,,,330.00,,,1200,,,,,,,,,,,,,,,
VFX94X,1,Diesel,7.50,8.00,9.00,210,,75,82,6,,595/2009*2018/932D,,,105.00,,,2850,,,,,,,,,,,,,,,
SX832X,1,Benzine,,,,147,,71,81,3,,,,,44.00,,,4125,,,,,,,,,,,,,,,
73MLSK,1,Elektriciteit,,,,,,,,,"EU No. 134/2014",,,,,11.00,,,,,,,,,,,,,,11.00,,,
H896PH,1,Benzine,4.20,4.90,6.10,111,,69,75,6,715/2007*2016/646W,,0.00034,,70.00,,,3750,,,,,,,,,,,,,,,
DXZ24S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
52YD18,2,LPG,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,,,,,
H800NT,1,Benzine,5.10,6.40,8.70,152,,74,81,4,70/220*2003/76B,,,,125.00,,,5025,,,,,,,,,,,,,,,
DZK04S,1,Benzine,,,,,,65,80,,"No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
DXN55B,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
DZH30G,1,Benzine,,,,,,65,75,,"EU No 134/2014*2016/1824",,,,1.90,,,3250,,,,,,,,,,,,,,,
96BXTL,1,Diesel,,,,,,,78,4,,,0.02300,,51.00,,,3000,,,,,,,,,,,,,,,
DZK03V,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
SX650P,1,Benzine,3.40,3.80,4.50,88,,73,83,6,715/2007*195/2013W,,,,59.00,,,4125,,,,,,,,,,,,,,,
H627PD,1,Benzine,6.20,7.50,9.50,176,,70,79,4,70/220*2003/76B,,,,76.00,,,4500,,,,,,,,,,,,,,,
9KRN05,1,Benzine,3.70,4.30,5.30,99,,70,79,5,715/2007*630/2012J,,,,66.00,,,3750,,,,,,,,,,,,,,,
H779SZ,1,Benzine,5.00,5.40,6.30,125,,69,72,6,715/2007*2016/646W,,0.00037,,88.30,,,3750,,,,,,,,,,,,,,,
H491ST,1,Elektriciteit,,,,,,71,,Z,715/2007*2017/1347AX,,,,,29.00,,,,,,,,159.00,455,615,,,,,,150.00,
H273KH,1,Benzine,4.50,5.10,6.20,120,,71,82,4,70/220*2003/76B,,,,74.00,,,3750,,,,,,,,,,,,,,,
97MLSF,1,Benzine,,,,,,,93,,,,,,75.00,,,6000,,,,,,,,,,,,,,,
H359SX,1,Benzine,4.00,4.60,5.50,105,,70,78,5,715/2007*692/2008F,,,,50.00,,,3750,,,,,,,,,,,,,,,
22MLSN,1,Benzine,,,,,,73,83,,"(EU) 134/2014*(EU) 2016/1824",,,,11.10,,,4000,,,,,,,,,,,,,,,
81MLTF,1,Benzine,,,,,,,105,,,,,,114.00,,,4625,,,,,,,,,,,,,,,
H823SZ,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,28.00,,,,,,,,,,,,,,,,,OVC-HEV
DXG66B,1,Benzine,,,,,,70,80,,"EU no 134/2014*2016/1824",,,,2.25,,,3500,,,,,,,,,,,,,,,
VFX88Z,1,Diesel,7.20,7.70,8.50,202,,73,85,6,715/2007*136/2014Y,,0.00092,,114.60,,0.15,2625,,,,,,,,,,,,,,,
H234SF,1,Benzine,3.90,4.50,5.60,105,,71,87,5,715/2007*136/2014J,,,,52.00,,,3750,,,,,,,,,,,,,,,
06MLSZ,1,Benzine,,,,,,77,92,,134/2014*2018/295,,,,93.00,,,4125,,,,,,,,,,,,,,,
DXG39S,1,Benzine,,,,,,66,81,,134/2014*2018/295A1,,,,1.50,,,3125,,,,,,,,,,,,,,,
52MLTF,1,Benzine,,,,,,79,92,,,,,,57.00,,,2625,,,,,,,,,,,,,,,
ZT083Z,1,Benzine,,,,272,,75,80,5,,,,,209.00,,,3750,,,,,,,,,,,,,,,
VFZ73L,1,Diesel,7.10,7.50,8.00,193,,70,82,6,715/2007*2016/646Y,,0.00064,,125.00,,0.47,2625,,,,,,,,,,,,,,,
H599SZ,1,Benzine,6.80,8.30,10.80,189,,67,84,6,715/2007*2016/646W,,0.00029,,260.00,,,3750,,,,,,,,,,,,,,,
H838SZ,1,Benzine,,4.10,,93,,69,76,6,715/2007*2017/1154AD,,,,53.00,,,3750,,114,,5.00,,,,,,,,,,,
H606LV,1,Benzine,3.70,4.30,5.40,99,,69,74,6,715/2007*2015/45W,,0.00135,,92.00,,,3750,,,,,,,,,,,,,,,
H454SV,1,Elektriciteit,,,,,,,,6,,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
V692SV,1,Diesel,,,,,,,,3,,,,,81.00,,,,,,,,,,,,,,,,,,
83MLSK,1,Benzine,,,,,,74,85,,"(EU) 134/2014*(EU) 2018/295",,,,24.50,,,3500,,,,,,,,,,,,,,,
H999SG,1,Benzine,3.90,4.50,5.50,106,,71,80,4,70/220*2003/76B,,,,50.00,,,4500,,,,,,,,,,,,,,,
H535SX,1,Benzine,5.10,6.20,8.20,144,,72,75,5,715/2007*692/2008A,,0.00142,,90.00,,,3750,,,,,,,,,,,,,,,
96MLTK,1,Benzine,,,,,,78,99,,,,,,132.00,,,6250,,,,,,,,,,,,,,,
VFX30P,1,Diesel,5.70,6.20,6.90,161,,72,77,6,715/2007*2015/45Y,,,,110.00,,0.50,2375,,,,,,,,,,,,,,,
H195TG,1,Benzine,7.30,10.30,15.50,247,,72,79,3,70/220*2001/100A,,,,162.00,,,4125,,,,,,,,,,,,,,,
H342SR,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,28.00,,,,,,,,147.00,484,660,,,,,,150.00,
48MLTF,1,Benzine,,,,,,73,90,,134/2014*2016/1824A1,,,,51.00,,,4250,,,,,,,,,,,,,,,
G819SF,1,Benzine,,,,125,,66,78,6,715/2007*2017/1347AG,,,,110.00,,,3750,,146,,,,,,,,,,,,,
DXP92V,1,Benzine,,,,,,71,81,,134/2014*2018/295A1,,,,2.40,,,3750,,,,,,,,,,,,,,,
72MLSX,1,Benzine,,,,,,72,90,,"(EU) 134/2014*(EU) 2018/295",,,,55.00,,,4500,,,,,,,,,,,,,,,
H764SL,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,28.00,,,,,,,,147.00,484,660,,,,,,150.00,
G466RS,1,Benzine,4.00,4.70,6.00,108,,71,77,6,715/2007*136/2014W,,,,49.00,,,3750,,,,,,,,,,,,,,,
DZK82T,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
57MKVL,1,Benzine,,,,,,,84,,,,,,35.00,,,4250,,,,,,,,,,,,,,,
H604PD,1,Benzine,5.10,5.60,6.60,129,,70,73,6,715/2007*2016/646W,,0.00050,,85.00,,,3375,,,,,,,,,,,,,,,
97MLTB,1,Benzine,,,,,,78,88,,,,,,65.00,,,3800,,,,,,,,,,,,,,,
MT24XX,1,Benzine,,,,,,79,90,,,,,,74.00,,,3750,,,,,,,,,,,,,,,
H877SK,1,Benzine,4.60,5.30,6.50,123,,70,79,5,715/2007*692/2008A,,0.00222,,77.00,,,3750,,,,,,,,,,,,,,,
H746TB,1,Benzine,7.90,10.70,15.50,249,,73,80,5,715/2007*692/2008A,,0.00037,,300.00,,,3750,,,,,,,,,,,,,,,
DZH78S,1,Benzine,,,,,,66,78,,"no 134/2014",,,,1.90,,,3250,,,,,,,,,,,,,,,
DZH59L,1,Benzine,,2.10,,47,,71,78,,134/2014*2016/1824A1,,,,2.70,,,4000,,,,,,,,,,,,,,,
H193TG,2,Elektriciteit,,,,,,,,6,715/2007*2015/45W,,,,,10.10,,,,,,,,,,,,,,,,,
RR631K,1,Benzine,4.10,4.70,5.80,106,,68,73,6,715/2007*2016/646W,,0.00024,,70.00,,,3750,,,,,,,,,,,,,,,
DZK03P,1,Benzine,,,,,,66,78,,134/2014*2018/295A1,,,,1.60,,,2750,,,,,,,,,,,,,,,
DXT86G,1,Benzine,,,,,,65,80,,"(EU) No 134/2014 to (EU) 2018/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
DZD50N,1,Benzine,,3.60,,82,,66,76,,134/2014*2016/1824,,,,2.20,,,3250,,,,,,,,,,,,,,,
H475TG,1,Elektriciteit,,,,,,66,,Z,715/2007*2016/646ZX,,,,,75.00,,,,,,,,,,,,,,,,125.00,
DZD07T,1,Elektriciteit,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,
DZK91J,1,Benzine,,,,,,66,81,,134/2014*2018/295A1,,,,1.50,,,3125,,,,,,,,,,,,,,,
H700SZ,1,Benzine,4.40,5.20,6.70,123,,70,77,5,715/2007*692/2008A,,,,51.00,,,4125,,,,,,,,,,,,,,,
DZD44S,1,Benzine,,,,,,66,78,,134/2014*2018/295A1,,,,1.60,,,2750,,,,,,,,,,,,,,,
XV789V,1,Diesel,4.00,4.50,5.40,117,,70,69,6,715/2007*2016/646ZD,,,,110.00,,0.50,2375,,,,,,,,,,,,,,,
DZD99D,1,Benzine,,,,,,66,78,,134/2014*2018/295A1,,,,1.60,,,2750,,,,,,,,,,,,,,,
60DTP6,1,Benzine,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,
H616TB,1,Diesel,7.60,8.70,11.50,229,,72,76,5,715/2007*195/2013J,,0.00124,,250.00,,0.65,3000,,,,,,,,,,,,,,,
DXB72F,1,Benzine,,,,,,71,81,,134/2014*2018/295A1,,,,2.40,,,3750,,,,,,,,,,,,,,,
67MLSZ,1,Benzine,,,,,,75,86,,134/2014*2018/295A1,,,,38.00,,,3100,,,,,,,,,,,,,,,
H130FR,1,Benzine,4.30,5.20,6.60,121,,70,82,6,715/2007*136/2014W,,,,66.00,,,3750,,,,,,,,,,,,,,,
97MLTK,1,Benzine,,,,,,,90,,,,,,57.00,,,5250,,,,,,,,,,,,,,,
40MLTF,1,Benzine,,,,,,76,94,,134/2014*2018/295A2,,,,121.00,,,5500,,,,,,,,,,,,,,,
ZS306S,2,Elektriciteit,,,,,,,,Z,715/2007*2015/45W,,,,,10.10,,,,,,,,,,,,,,,,,NOVC-HEV
DZL40D,1,Benzine,,,,,,65,80,,"(EU) 218/295",,,,1.60,,,2750,,,,,,,,,,,,,,,
DXZ68S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
H960FH,1,Benzine,4.30,5.20,6.80,120,,70,82,6,715/2007*136/2014W,,,,66.00,,,3750,,,,,,,,,,,,,,,
VFL19X,1,Diesel,7.10,7.80,8.90,204,,75,79,6,715/2007*2017/1347Y,,0.00031,,96.00,,0.43,2625,,,,,,,,,,,,,,,
H393HG,1,Benzine,4.10,5.00,6.50,119,,71,79,4,R/83II-05,,,,38.00,,,4500,,,,,,,,,,,,,,,
DZK39R,1,Benzine,,,,,,71,81,,"134/2014/EU, 2016/1824/EU",,,,2.10,,,3125,,,,,,,,,,,,,,,
45MKRV,1,Benzine,,,,,,71,86,,,,,,40.30,,,3125,,,,,,,,,,,,,,,
DXZ45S,1,Elektriciteit,,,,,,,,,"(EU) No 134/2014 including all amen",,,,,1.30,,,,,,,,,,,,,,,,,
DZK88T,1,Benzine,,,,,,66,76,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
DRG48K,1,Benzine,,,,,,66,75,,"EU no 134/2014 as amended 2016/1824",,,,1.70,,,3250,,,,,,,,,,,,,,,
H409SZ,1,Elektriciteit,,,,,,70,,Z,715/2007*2018/1832AX,,,,,100.00,,,,,,,,149.00,409,531,,,,,,239.00,
H176SX,1,Elektriciteit,,,,,,,,6,,,,,,10.10,,,,,,,,,,,,,,,,32.00,NOVC-HEV
H744SX,1,Benzine,4.80,5.40,6.30,125,,73,74,6,715/2007*2015/45W,,0.00157,,96.00,,,3750,,,,,,,,,,,,,,,
H677SZ,1,Benzine,,,,,,78,80,0,,,,,80.00,,,3900,,,,,,,,,,,,,,,
H727SL,1,Elektriciteit,,,,,,68,,Z,715/2007*2018/1832AX,,,,,28.00,,,,,,,,147.00,484,660,,,,,,150.00,
77NZG7,1,Benzine,5.90,7.20,9.60,173,,,82,4,70/220*2003/76B,,,,125.00,,,3800,,,,,,,,,,,,,,,
11MLTF,1,Benzine,,,,,,76,87,,134/2014*2018/295A1,,,,59.00,,,3875,,,,,,,,,,,,,,,
09FJVD,1,Benzine,6.00,7.10,9.00,166,,,82,2,70/220*1996/69,,,,44.00,,,3750,,,,,,,,,,,,,,,
